,question,answer
96,"คําถาม: ข้อใดที่อธิบดีผู้พิพากษาภาคไม่มีอำนาจทำได้

ตัวเลือก:
(1) นั่งพิจารณาและพิพากษาคดีของศาลที่อยู่เขตอำนาจ
(2) สั่งคำร้องที่คู่ความยื่นต่อตน
(3) ให้คำแนะนำแก่ผู้พิพากษาในศาลที่อยู่ในเขตอำนาจ
(4) มีคำสั่งให้ผู้พิพากษาในศาลที่อยู่ในเขตอำนาจไปช่วยทำงานชั่วคราวในอีกศาลหนึ่งมีกำหนด 6 เดือน โดยได้รับความยินยอมของผู้พิพากษา",(4) มีคำสั่งให้ผู้พิพากษาในศาลที่อยู่ในเขตอำนาจไปช่วยทำงานชั่วคราวในอีกศาลหนึ่งมีกำหนด 6 เดือน โดยได้รับความยินยอมของผู้พิพากษา
97,"คําถาม: งานให้คำปรึกษาทางกฎหมายเป็นงาน

ตัวเลือก:
(1) ว่าความ
(2) แก้ปัญหาที่ปลายเหตุ
(3) ป้องกันไม่ใช้เกิดปัญหา
(4) ทั้ง (1) และ (2)",(3) ป้องกันไม่ใช้เกิดปัญหา
98,"คําถาม: กระบวนการอนุญาตใดตุลาการเป็นกระบวนการ

ตัวเลือก:
(1) ไกล่เกลี่ย
(2) ประนีประนอมยอมความ
(3) วินิจฉัยข้อพิพาท
(4) ประนอมข้อพิพาท",(3) วินิจฉัยข้อพิพาท
99,"คําถาม: เมื่อวันที่ 1 พฤศจิกายน 2555 นางสาวยุติ ธรรม จ้างนาย ทุจริต เป็นทนายความยื่นฟ้องคดีอาญาตามกฎหมายว่าด้วยความผิดอันเกิดจากการใช้เช็ค ซึ่งจะขาดอายุความยื่นฟ้องคดีในวันที่ 1 มกราคม 2556 รับเงินค่าทนายความไปจำนวน 30,000 บาท นายชอบ ละทิ้งคดี ไม่ดำเนินการยื่นฟ้องคดีภายในอายุความของคดีนับแต่วันที่ธนาคารปฏิเสธการจ่ายเงิน นางสาวยุติธรรม ตรวจสอบว่า นายชอบ ไม่ดำเนินการฟ้องให้เมื่อวันที่ 1 กุมภาพันธ์ 2556 จึงบอกเลิกการจ้าง ขอเอกสารและเงินค่าทนายความคืน แต่นายชอบ เพิกเฉย ไม่ยินยอมคืนให้ต่อมานางสาวยุติ ได้ยื่นคำกล่าวหาว่า นายชอบ ประพฤติผิดมรรยาททนายความเอวันที่ 10 มีนาคม 2557 ข้อใดถูกต้อที่สุด

ตัวเลือก:
(1) สิทธิกล่าวหาคดีนี้สิ้นสุดลง เพราะยื่นคำกล่าวหาเกินกว่า 1 ปีนับแต่ผู้กล่าวหารู้เรื่อง การประพฤติผิดมรรยาททนายความ และรู้ตัวผู้ประพฤติผิด
(2) สิทธิกล่าวหาในคดียังไม่สิ้นสุด เพราะการประพฤติผิดมรรยาททนายความยังไม่เกินสามปีนับแต่วันประพฤติผิด
(3) ยังถือไม่ได้ว่ามีการประพฤติผิดมรรยาททนายความ เพราะคดีนี้ยังสามารถไปดำเนินการฟ้องคดีแพ่งเรียกร้องได้
(4) ผิดทุกข้อ",(1) สิทธิกล่าวหาคดีนี้สิ้นสุดลง เพราะยื่นคำกล่าวหาเกินกว่า 1 ปีนับแต่ผู้กล่าวหารู้เรื่อง การประพฤติผิดมรรยาททนายความ และรู้ตัวผู้ประพฤติผิด
100,"คําถาม: ประธานคณะกรรมการสอบสวนคดีมรรยาททนายความได้มีหนังสือแจ้งให้ผู้จัดการธนาคารที่ผู้ถูกกล่าวหาเคยเป็นลูกค้าธนาคาร นั้น ส่งสำเนาบัญชีเงินฝากกระแสรายวันของผู้ถูกกล่าวหาเพิ่มประกอบการพิจารณาคดีมรรยาททนายความ ผู้จัดการธนาคารจะมีหนังสือปฏิเสธไม่ปฏิบัติตามหนังสือเรียกให้ส่งเอกสานดังกล่าว โดยอ้างว่าเป็นความลับของลูกค้าธนาคาร ได้หรือไม่

ตัวเลือก:
(1) ได้ เพราะความลับของลูกค้าเกี่ยวกับหลักฐานทางบัญชีย่อมได้รับความคุ้มครอง และเจ้าของบัญชีอาจจะฟ้องร้องผู้จัดการธนาคารให้รับผิดชอบทางอาญาได้
(2) ได้ เพราะประธานคณะกรรมการสอบสวนไม่ใช่เจ้าพนักงานตามประมวลกฎหมายอาญา จึงไม่มีอำนาจเรียกให้ส่งเอกสารทางบัญชีดังกล่าวได้
(3) ได้ เพราะหนังสือเรียกดังกล่าวกระทำในฐานะประธานคณะกรรมการสอบสวน มิใช่เป็นหนังสือเรียกเอกสารโดยอาศัยอำนาจของศาล
(4) ไม่ได้ เพราะพระราชบัญญัติทนายความ พ.ศ.2528 ให้คณะกรรมการสอบสวนคดีมรรยาททนายความมีอำนาจแจ้งบุคคลใดๆ ส่งเอกสารหรือวัตถุเพื่อประโยชน์แก่การสอบสวนได้หากฝ่าฝืนมีโทษทางอาญา ระวางโทษจำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาทหรือทั้งจำทั้งปรับ","(4) ไม่ได้ เพราะพระราชบัญญัติทนายความ พ.ศ.2528 ให้คณะกรรมการสอบสวนคดีมรรยาททนายความมีอำนาจแจ้งบุคคลใดๆ ส่งเอกสารหรือวัตถุเพื่อประโยชน์แก่การสอบสวนได้หากฝ่าฝืนมีโทษทางอาญา ระวางโทษจำคุกไม่เกิน 1 เดือน หรือปรับไม่เกิน 1,000 บาทหรือทั้งจำทั้งปรับ"
101,"คําถาม: นาย ก. ทนายความเห็นว่าข้อบังคับสภาทนายความว่าด้วยมรรยาททนายความ พ.ศ. 2529 ใช้บังคับมานานแล้ว สมควรมีการแก้ไข หากจะต้องแก้ไขข้อบังคับจะต้องดำเนินการอย่างไร

ตัวเลือก:
(1) ทนายความจำนวน 100 คน มีสิทธิเสนอขอให้กรรมการพิจารณาแก้ไขข้อบังคับดังกล่าวได้
(2) ทนายความไม่น้อยกว่า 100 คน มีสิทธิเสนอขอให้กรรมการพิจารณาแก้ไขข้อบังคับดังกล่าวได้
(3) ทนายความมากกว่า 100 คน มีสิทธิเสนอขอให้กรรมการพิจารณาแก้ไขข้อบังคับดังกล่าวได้
(4) ทนายความไม่เกิน 11 คน มีสิทธิเสนอขอให้กรรมการพิจารณาแก้ไขข้อบังคับ ดังกล่าวได้",(2) ทนายความไม่น้อยกว่า 100 คน มีสิทธิเสนอขอให้กรรมการพิจารณาแก้ไขข้อบังคับดังกล่าวได้
102,"คําถาม: ในกรณีคดีเกิดขั้นอยู่ในเขตอำนาจของศาลแขวงต้องฟ้องผู้ต้องหาภายในกี่ชั่วโมง และหากไม่ขอผัดฟ้องตามกฎหมายต้องทำอย่างไร จึงจะฟ้องผู้ต้องหาได้

ตัวเลือก:
(1) ต้องฟ้องภายใน 24 ชั่วโมง และต้องให้ผู้ว่าราชการจังหวัดเป็นผู้อนุญาตให้ฟ้อง
(2) ต้องฟ้องภายใน 48 ชั่วโมง และต้องได้รับอนุญาตให้ฟ้องผู้ต้องหาจากอัยการสูงสุด (อธิบดีกรมอัยการ)
(3) ต้องฟ้องภายใน 50 ชั่วโมง และต้องได้รับอนุญาตให้ฟ้องผู้ต้องหาจากอัยการสูงสุด (อธิบดีกรมอัยการ)
(4) ต้องฟ้องภายใน 72 ชั่วโมง และต้องได้รับอนุญาตให้ฟ้องผู้ต้องหาจากอัยการสูงสุด (อธิบดีกรมอัยการ)",(2) ต้องฟ้องภายใน 48 ชั่วโมง และต้องได้รับอนุญาตให้ฟ้องผู้ต้องหาจากอัยการสูงสุด (อธิบดีกรมอัยการ)
103,"คําถาม: ในคดีแพ่งสามัญ การพิจารณาคดีของนายยุติธรรม ผู้พิพากษาศาลจังหวัดตลิ่งชัน กรณีใดไม่ถูกต้อง

ตัวเลือก:
(1) โจทก์ไม่มาศาลในวันนัดสืบพยานโจทก์นัดแรก บันทึกรายงานกระบวนพิจารณาให้ถือว่าโจทก์ขาดนัดพิจารณา
(2) จำเลยขาดนัดยื่นคำให้การ ขึงมีคำพิพากษาให้โจทก์ชนะคดีจำเลยเพราะเห็นว่าคดีโจทก์มีมูลและไม่ขัดต่อกฎหมาย
(3) สั่งไม่รับคำร้องที่โจทก์ขอให้ศาลสั่งว่า จำเลยขาดนัดยื่นคำให้การ ซึ่งโจทก์ยื่นภายในสิบวันนับแต่จำเลยไม่ยื่นคำให้การ
(4) มีคำสั่งจำหน่ายคดีโจทก์จากสารบบความเพราะโจทก์ไม่ยื่นคำร้องขอให้จำเลยขาดนัดยื่นคำให้การภายใน 10 วันนับแต่ระยะเวลาที่กำหนดให้จำเลยยื่นคำให้การได้สิ้นสุดลง",(4) มีคำสั่งจำหน่ายคดีโจทก์จากสารบบความเพราะโจทก์ไม่ยื่นคำร้องขอให้จำเลยขาดนัดยื่นคำให้การภายใน 10 วันนับแต่ระยะเวลาที่กำหนดให้จำเลยยื่นคำให้การได้สิ้นสุดลง
104,"คําถาม: ทนายจำเลยโด้แย้งเรื่องการตั้งประเด็นข้อพิพาท ศาลสั่งให้ทำคำคัดค้านมายื่นภายใน 7 วัน ทนายจึงยื่นคำคัดค้านภายในกำหนด ต่อมาศาลมีคำสั่งยกคำคัดค้าน ทนายจำเลยอาจอ้างคำคัดค้านฉบับดังกล่าวเป็นโต้แย้งคำสั่งยกคำค้านเพื่อใช้สิทธิอุทธรณ์คำสั่งศาลได้หรือไม่ เพราะเหตุใด

ตัวเลือก:
(1) ได้ เพราะถือเป็นการโต้แย้งในมูลเหตุเดียวกัน
(2) ไม่ได้ เพราะเป็นการคัดค้านคำสั่งคนละส่วนกัน
(3) ไม่จำต้องโต้แย้งคำสั่ง เนื่องจากคำสั่งดังกล่าวมิใช่คำสั่งระหว่างพิจารณา
(4) การกำหนดประเด็นข้อพิพาทเป็นอำนาจของศาล ไม่สามารถโต้แย้งได้",(2) ไม่ได้ เพราะเป็นการคัดค้านคำสั่งคนละส่วนกัน
105,"คําถาม: เมื่อไม่มีกฎหมายปรับใช้กับคดีที่เกิดขึ้น ให้ใช้หลักอุดช่องว่างแห่งกฎหมายคือ

ตัวเลือก:
(1) ใช้หลักกฎหมายทั่งไปก่อน แล้วจึงใช้จารีตประเพณีแห่งท้องถิ่น
(2) ใช้จารีตประเพณีแห่งท้องถิ่น บทกฎหมายใกล้เคียงอย่างยิ่ง
(3) ใช้จารีตประเพณีแห่งท้องถิ่น บทกฎหมายใกล้เคียงอย่างยิ่ง และหลักกฎหมายทั่วไป ตามลำดับ
(4) ถูกทุกข้อ",(3) ใช้จารีตประเพณีแห่งท้องถิ่น บทกฎหมายใกล้เคียงอย่างยิ่ง และหลักกฎหมายทั่วไป ตามลำดับ
106,"คําถาม: การตรวจหาเขม่าดินปืนที่มือของผู้ยิงปืน ตรวจภายในระยะเวลา

ตัวเลือก:
(1) 3 ชั่วโมง
(2) 6 ชั่วโมง
(3) 24 ชั่วโมง
(4) 36 ชั่วโมง",(2) 6 ชั่วโมง
107,"คําถาม: ศาลรับประเด็นไม่มีอำนาจสั่งในกรณีใด ดังต่อไปนี้

ตัวเลือก:
(1) ออกหมายเรียกพยานบุคคล และมีคำสั่งเรียกพยานเอกสาร
(2) สั่งให้คู่ความฝ่ายหนึ่งขาดนัดพิจารณา
(3) รับและสั่งใบแต่งทนายความ
(4) ส่งประเด็นต่อไปยังศาลอื่น",(2) สั่งให้คู่ความฝ่ายหนึ่งขาดนัดพิจารณา
108,"คําถาม: ในการร่างสัญญา

ตัวเลือก:
(1) ผู้ร่างมีเสรีภาพเต็มที่ในการที่จะกำหนดสิทธิและหน้าที่ของคู่สัญญา
(2) ผู้ร่างต้องดูว่ามีกฎหมายมหาชนที่อาจจำกัดเสรีภาพในการทำสัญญานั้นหรือไม่ เพียงใด
(3) ผู้ร่างไม่จำต้องคำนึงถึงกฎหมายอื่นนอกจากประมวลกฎหมายแพ่งและพาณิชย์
(4) ผู้ร่างต้องคำนึงถึงกฎหมายอาญาด้วย",(2) ผู้ร่างต้องดูว่ามีกฎหมายมหาชนที่อาจจำกัดเสรีภาพในการทำสัญญานั้นหรือไม่ เพียงใด
109,"คําถาม: คำคู่ความ ตาม ป.วิ.พ. มาตรา 1(5) หมายถึงคำตอบข้อใด

ตัวเลือก:
(1) บรรดาคำฟ้อง
(2) คำให้การ
(3) คำร้องทั้งหลายที่ยื่นต่อศาลเพิ่มตั้งประเด็นระหว่างคู่ความ
(4) คำร้องทั้งหลายที่ยื่นต่อศาลเพิ่มตั้งประเด็นระหว่างคู่ความ",(4) คำร้องทั้งหลายที่ยื่นต่อศาลเพิ่มตั้งประเด็นระหว่างคู่ความ
110,"คําถาม: คำขอให้ศาลออกหมายบังคับคดีต้องมีข้อความดังต่อไปนี้ด้วย

ตัวเลือก:
(1) วิธีการบังคับคดีซึ่งขอให้ออกหมายนั้น
(2) ระยะเวลาที่ลูกหนี้ตามคำพิพากษาต้องปฏิบัติตามคำพิพากษา
(3) เหตุที่ลูกหนี้ตามคำพิพากษามิได้ปฏิบัติตามคำพิพากษา
(4) ถูกทุกข้อ",(1) วิธีการบังคับคดีซึ่งขอให้ออกหมายนั้น
111,"คําถาม: ในกรณีที่โจทก์ทราบนัดชอบแล้ว ไม่มาศาลในวันชีสองสถาน จะมีผลประการใด

ตัวเลือก:
(1) ถือว่าโจทก์ทิ้งฟ้อง
(2) ถือว่าโจทก์ขาดนัดพิจารณา
(3) ไม่มีสิทธิคัดค้านว่าประเด็นข้อพิพาทและหน้าที่นำสืบที่ศาลกำหนดไว้นั้นไม่ถูกต้อง
(4) ศาลต้องเลื่อนคดีไปเพราะโจทก์ไม่มาศาล",(3) ไม่มีสิทธิคัดค้านว่าประเด็นข้อพิพาทและหน้าที่นำสืบที่ศาลกำหนดไว้นั้นไม่ถูกต้อง
112,"คําถาม: คดีอาญาเรื่องหนี่ง ศาลชั้นต้นพิพากษาลงโทษจำคุก 1 เดือน แต่ให้เปลี่ยนโทษจำคุกเป็นกักขังแทน 1 เดือน จำเลยอุทธรณ์ขอให้รอการลงโทษ ศาลอุทธรณ์พิพากษายืน หากผู้พิพากษาซึ่งพิจารณาและลงชื่อในคำพิพากษาอนุญาตให้จำเลยฎีกาในปัญหาข้อเท็จจริง ศาลฎีกาจะรับฎีกาของจำเลยไว้วินิจฉัยได้ หรือไม่

ตัวเลือก:
(1) ได้ เพราะมีการอนุญาตให้ฎีกาในปัญหาข้อเท็จจริงถูกต้องแล้ว
(2) ได้ เพราะคดีนี้ไม่ต้องห้ามฎีกาในปัญหาข้อเท็จจริง
(3) ไม่ได้ เพราะไม่ใช่คดีที่ต้องห้ามฎีกาตามมาตรา 218, 219 และ 220 แห่งประมวลกฎหมายวิธีพิจารณาความอาญา จึงอนุญาตให้ฎีกาไม่ได้
(4) ไม่ได้ เพราะผู้พิพากษาซึ่งพิจารณาและลงชื่อในคำพิพากษาศาลชั้นต้นมีอำนาจอนุญาตให้อุทธรณ์ในปัญหาข้อเท็จจริงเท่านั้น ไม่อำนาจอนุญาตให้ฎีการในปัญหาข้อเท็จจริง","(3) ไม่ได้ เพราะไม่ใช่คดีที่ต้องห้ามฎีกาตามมาตรา 218, 219 และ 220 แห่งประมวลกฎหมายวิธีพิจารณาความอาญา จึงอนุญาตให้ฎีกาไม่ได้"
113,"คําถาม: เกณฑ์วินิจฉัยที่ถือว่า บุคคลาถึงแก่ความตาย (ตามธรรมชาติ) ปัจจุบันถือเกณฑ์

ตัวเลือก:
(1) หัวใจหยุดเต้น
(2) ปอดหยุดทำงาน
(3) แกนสมองตาย
(4) อวัยวะทุกส่วนในร่างกายหยุดทำงาน",(3) แกนสมองตาย
114,"คําถาม: จงเรียงลำดับขั้นตอนกระบวนการยุติธรรมทางอาญาที่เกี่ยวกับการคุมประพฤติจากก่อนไปหลัง

ตัวเลือก:
(1) (1) การตรวจพิสูจน์ การสืบเสาะการสงเคราะห์เยี่ยมเยียน
(2) (2) การสืบเสาะฯ การควบคุมและสอดส่องการสงเคราะห์หลังปล่อย
(3) (3) การควบคุมและสอดคล่องการฟื้นฟูสมรรถภาพการตรวจพิสูจน์
(4) (4) การตรวจพิสูจน์การควบคุมและสอดส่องการติดตามหลังปล่อย",(3) การควบคุมและสอดคล่องการฟื้นฟูสมรรถภาพการตรวจพิสูจน์
115,"คําถาม: ข้อใดจัดเป็นคดีผู้บริโภคตามพระราชบัญญัติวิธีพิจารณาคดีผู้บริโภค พ.ศ.2551

ตัวเลือก:
(1) คดีแพ่งพิพาทเกี่ยวกับสัญญาระหว่างบริษัทรับจ้างปลูกบบ้านกับบริษัทผู้รับเหมา
(2) คดีแพ่งพิพาทเกี่ยวกับสัญญาระหว่างรร้านค้าปลีกกับร้านค้าส่ง
(3) คดีแพ่งพิพาทเกี่ยวกับสัญญาระหว่างผู้จัดสรรที่ดินกับบริษัทรับจ้างปลูกบ้านในที่ดินโครงการจัดสรร
(4) คดีแพ่งพิพาทเกี่ยวกับสัญญาระหว่างนาย ก. เจ้าของที่ดินกับบริษัทรับจ้างปลูกบ้าน ในที่ดินของ นาย ก. เพื่อการอยู่อาศัย",(4) คดีแพ่งพิพาทเกี่ยวกับสัญญาระหว่างนาย ก. เจ้าของที่ดินกับบริษัทรับจ้างปลูกบ้าน ในที่ดินของ นาย ก. เพื่อการอยู่อาศัย
116,"คําถาม: คำสั่งใดที่ผู้พิพากษาคนเดียวในศาลแพ่งไม่มีอำนาจ

ตัวเลือก:
(1) คำสั่งลงโทษจำคุกผู้ละเมิดอำนาจศาล 1 เดือน
(2) คำสั่งห้ามประชาชนเข้าฟังการพิจารณาคดี
(3) ไต่สวนและมีคำสั่งยกคำร้องขอให้พิจารณาคดีใหม่
(4) พิจารณาคำร้องและมีคำสั่งตั้งผู้ร้องเป็นผู้จัดการมรดก",(4) พิจารณาคำร้องและมีคำสั่งตั้งผู้ร้องเป็นผู้จัดการมรดก
117,"คําถาม: กรณีใดไม่เป็นผู้มีส่วนได้เสียที่จะร้องขอเข้าเป็นคู่ความร่วมตาม ป.วิ.พ. มาตรา 57 (2)

ตัวเลือก:
(1) ผู้ค้ำประกัน
(2) หุ้นส่วนในห้างหุ้นส่วนไม่จดทะเบียน
(3) นายจ้างที่ต้องรับผิดมูลละเมิดกับลูกจ้าง
(4) ภริยาถูกฟ้องเรียกเงินกู้ สามีจะร้องสอดว่าการกู้เป็นโมฆะโดยบอกล้างแล้ว",(4) ภริยาถูกฟ้องเรียกเงินกู้ สามีจะร้องสอดว่าการกู้เป็นโมฆะโดยบอกล้างแล้ว
118,"คําถาม: นายประยุทธ เป็นโจทก์ยื่นฟ้องนายประมวล เป็นจำเลย ข้อหาหรือฐานความผิดละเมิด เรียกค่าสินไหมทดแทนจากจำเลยเป็นเงิน 5,000,000 บาท โดยศาลมีคำสั่งยกเง้นค่าธรรมเนียมศาลตั้งแต่วันยื่นคำฟ้องแล้ว ต่อมาในวันนัดพิจารณาคดี นายประยุทธ มีปากเสียกับนายประมวล และเกิดอารมณ์โกรธแค้นเข้าไปทำร้ายร่างกายนายประมวล คำสั่งศาลข้อใดที่ถูกต้องที่สุด

ตัวเลือก:
(1) ศาลมีอำนาจสั่งลงโทษละเมิดอำนาจศาล
(2) ศาลมีอำนาจสั่งถอนการยกเว้นค่าธรรมเนียมศาลและให้โจทก์ชำระค่าฤชาธรรมเนียมศาลตั้งแต่วันยื่นคำฟ้อง
(3) ศาลมีอำนาจสั่งถอนการยกเว้นค่าธรรมเนียมศาลและให้โจทก์ชำระค่าฤชาธรรมเนียมที่เกิดขี้น
(4) ข้อ (1) และ (3)",(4) ข้อ (1) และ (3)
119,"คําถาม: เมื่อสภานายกพิเศษได้รับสำนวนคดีมรรยาททนายความที่ทนายความอุทธรณ์คำสั่งซึ่งถูกคณะกรรมการสภาทนายความสั่งลงโทษแล้ว สภานายกพิเศษจะต้องมีคำสั่งคดีมรรยาททนายความนั้นภายในกำหนดกี่วัน

ตัวเลือก:
(1) 30 วัน
(2) 60 วัน
(3) 90 วัน
(4) 180 วัน",(2) 60 วัน
120,"คําถาม: คำสั่งของคณะกรรมการสภาทนายความเรื่องใด ที่ไม่สามารถอุทธรณ์ต่อสภานายกพิเศษแห่งสภาทนายความได้

ตัวเลือก:
(1) จำหน่ายคดี
(2) ยกคำกล่าวหา
(3) จำหน่ายคดี หรือยกคำกล่าวหา
(4) ไม่มีข้อใดถูกต้อง",(3) จำหน่ายคดี หรือยกคำกล่าวหา
121,"คําถาม: คำสั่งอันถึงที่สุดลงโทษทนายความที่ประพฤติผิดมรรยาททนายความ โดยเป็นคำสั่งห้ามทำการเป็นทนายความ หรือคำสั่งลบชื่อออกจากทะเบียนทนายความ ให้นายทะเบียนทนายความแจ้งำสั่งนั้นให้องค์กรใดทราบ

ตัวเลือก:
(1) ศาลทั่วราชอาณาจักร
(2) เนติบัณฑิตยสภา
(3) ศาลทั่วราชอาณาจักร และเนติบัณฑิตยสภา
(4) ศาลทั่วราชอาณาจักร เนติบัณฑิตยสภา และวารสารของสภาทนายความ",(3) ศาลทั่วราชอาณาจักร และเนติบัณฑิตยสภา
122,"คําถาม: พระราชบิดาของวิชชีพทนายความ คือ

ตัวเลือก:
(1) พระบาทสมเด็จพระเจ้าอยู่หัว ภูมิพลอดุลยเดช
(2) พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว
(3) พระบางสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว
(4) กรมหลวงราชบุรีดิเรกฤทธิ์",(2) พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว
123,"คําถาม: หน้าที่ของสมาชิกสภาทนายความ คือ

ตัวเลือก:
(1) ช่วยเหลือประชาชนทางกฎหมาย
(2) ปฏิบัติตามคำสั่งนายกสภาทนายความ
(3) ปฏิบัติตามคำสั่งประธานกรรมการมรรยาททนายความ
(4) ผดุงไว้ซึ่งเกียรติศักดิ์ศักดิ์แห่งวิชาชีพและปฏิบัติตนตามพระราชบัญญัติทนายความ",(4) ผดุงไว้ซึ่งเกียรติศักดิ์ศักดิ์แห่งวิชาชีพและปฏิบัติตนตามพระราชบัญญัติทนายความ
124,"คําถาม: นาย ก. ถูกจับกุมข้อหาลักทรัพย์ผู้อื่น ตามประมวลกฎหมายอาญา 1 มาตรา 334 เมื่อวันที่ 1 กรกฎาคม 2558 เวลา 10:00 นาฬิกา เจ้าพนักงานตำรวจต้องนำตัวนาย ก. มาส่งฟ้องให้ทันภายในกำหนดเวลาใด หากไม่นับเวลาเดินทางตามปกติจากที่จับกุมมายังที่ทำการของพนักงานสอบสวน หรือจากที่ทำการของพนักงานอัยการมาศาลรวมคำนวณเข้าด้วย

ตัวเลือก:
(1) วันที่ 3 กรกฎาคม 2558 เวลา 10.00 นาฬิกา
(2) วันที่ 3 กรกฎาคม 2558 เวลา 10.30 นาฬิกา
(3) วันที่ 4 กรกฎาคม 2558 เวลา 10.00 นาฬิกา
(4) วันที่ 4 กรกฎาคม 2558 เวลา 10.30 นาฬิกา",(1) วันที่ 3 กรกฎาคม 2558 เวลา 10.00 นาฬิกา
125,"คําถาม: คดีใดต่อไปนี้ โจทก์ไม่ต้องขอให้ศาลมีคำพิพากษาหรือคำสั่งชี้ขาดให้ตนชนะคดีโดยจำเลยขาดนัดยื่นคำให้การ

ตัวเลือก:
(1) นนางแดงฟ้องหย่านายดำ
(2) นายสีฟ้าฟ้องขอให้ศาลมีคำสั่งเพิกถอนนิติกรรมการโอนที่ดินอ้างว่า บุตรผู้เยาว์กระทำไปโดยตนไม่ยินยอม
(3) ธนาคารฟ้องไห้นางสาวขาว ชำระหนี้บัตรเครดิตจำนวน 31,000 บาท
(4) นายเหลือฟ้องเรียกที่ดินคืนจากนางฟ้าบุตรสาวของตนเพราะเหตุเนรคุณ","(3) ธนาคารฟ้องไห้นางสาวขาว ชำระหนี้บัตรเครดิตจำนวน 31,000 บาท"
126,"คําถาม: โวหารกฎหมายที่ดี ควรมีหลักสำคัญ คือ

ตัวเลือก:
(1) แจ้งชัดปราศจากช่องโหว่
(2) ใช้ถ้อยคำที่ประชาชนเข้าใจง่าย
(3) ใช้ถ้อยคำที่เป็นภาษาชาวบ้าน
(4) สร้างความเชื่อถือศรัทธาให้คนอ่าน",(1) แจ้งชัดปราศจากช่องโหว่
127,"คําถาม: ก่อนสืบพยานประเด็นเจ็ดวัน โจทก์ยื่นคำแถลงขอระบุพยานเพิ่มเติมต่อศาลจังหวัดเชียงใหม่ ซึ่งเป็นศาลรับประเด็น โดยอ้างนายเก่งกาจเป็นพยานเพิ่มเติม อ้างว่ารู้เห็นการกู้ยืมเงินของนายจนเช่นเดียวกับนายรอด ถึงวันนัด นายรอดซึ่งเป็นพยานโจทก์ต่องการสืบไม่มา ศาลจังหวัดเชียงใหม่มีคำสั่งอนุญาตให้ส่งประเด็นไปสืบนายรอดที่ศาลจังหวัดพระเยา เพราะนายรอด ย้ายภูมิลำเนาไปอยู่ในเขตศาลดังกล่าว ดังนี้ ศาลจังหวัดเชียงใหม่จะรับบัญชีระบุพยานเพิ่มเติมของโจทก์ได้หรือไม่และคำสั่งส่งประเด็นไปยังศาลจังหวัดพะเยาชอบหรือไม่

ตัวเลือก:
(1) สั่งรับบัญชีระบุพยานได้ และคำสั่งส่งประเด็นต่อชอบแล้ว
(2) ไม่มีอำนาจสั่งรับบัญชีระบุพยานเพิ่มเติม แต่คำสั่งประเด็นต่อชอบแล้ว
(3) สั่งรับบัญชีระบุพยานเพิ่มเติมได้ แต่คำสั่งส่งประเด็นต่อไม่ชอบ
(4) ไม่มีอำนาจสั่งทั้งสองกรณี",(2) ไม่มีอำนาจสั่งรับบัญชีระบุพยานเพิ่มเติม แต่คำสั่งประเด็นต่อชอบแล้ว
128,"คําถาม: งานให้คำปรึกษากฎหมายต่างกับงานระงับข้อพิพาทเพราะ

ตัวเลือก:
(1) เป็นงานที่มองปัญหาคนละมุม
(2) งานให้คำปรึกษาเป็นงานที่มุ่งป้องกันไม่ใช้เกิดปัญหาในอนาคต ส่วนงานระงับข้อพิพาทเป็นงานที่แก้ปัญหาที่ปลายเหตุ
(3) ไม่มีความแตกต่างเพราะเป็นงานของทนายความเช่นกัน
(4) งานให้คำปรึกษาเป็นงานง่ายๆ",(2) งานให้คำปรึกษาเป็นงานที่มุ่งป้องกันไม่ใช้เกิดปัญหาในอนาคต ส่วนงานระงับข้อพิพาทเป็นงานที่แก้ปัญหาที่ปลายเหตุ
