question,positive_contexts,vistec_answer,answer,law,label
ใครคือผู้มีหน้าที่จัดทำบัญชี ตามกฎหมายว่าด้วยการบัญชี,"[{'context': 'พระราชบัญญัติการบัญชี พ.ศ. 2543 มาตรา 8 ให้ห้างหุ้นส่วนจดทะเบียน บริษัทจำกัด บริษัทมหาชนจำกัด ที่จัดตั้งขึ้นตามกฎหมายไทย นิติบุคคลที่ตั้งขึ้นตามกฎหมายต่างประเทศที่ประกอบธุรกิจในประเทศไทย กิจการร่วมค้าตามประมวลรัษฎากร เป็นผู้มีหน้าที่จัดทำบัญชี และต้องจัดให้มีการทำบัญชีสำหรับการประกอบธุรกิจของตนโดยมีรายละเอียด หลักเกณฑ์ และวิธีการตามที่บัญญัติไว้ในพระราชบัญญัตินี้\nในกรณีที่ผู้มีหน้าที่จัดทำบัญชีประกอบธุรกิจเป็นประจำในสถานที่หลายแห่งแยกจากกัน ให้ผู้มีหน้าที่รับผิดชอบในการจัดการธุรกิจในสถานที่นั้นเป็นผู้มีหน้าที่จัดทำบัญชี\nในกรณีที่ผู้มีหน้าที่จัดทำบัญชีเป็นกิจการร่วมค้าตามประมวลรัษฎากร ให้บุคคลซึ่งรับผิดชอบในการดำเนินการของกิจการนั้นเป็นผู้มีหน้าที่จัดทำบัญชี\nรัฐมนตรีโดยความเห็นชอบของคณะรัฐมนตรีมีอำนาจประกาศในราชกิจจานุเบกษา กำหนดให้บุคคลธรรมดาใดหรือห้างหุ้นส่วนที่มิได้จดทะเบียนที่ประกอบธุรกิจใดในประเทศไทยตามเงื่อนไขใดเป็นผู้มีหน้าที่จัดทำบัญชีตามพระราชบัญญัตินี้ได้\nประกาศของรัฐมนตรีตามวรรคสี่ ให้ประกาศในราชกิจจานุเบกษาล่วงหน้าไม่น้อยกว่าหกเดือนก่อนวันใช้บังคับ\nในกรณีที่มีประกาศของรัฐมนตรีตามวรรคสี่ ให้อธิบดีกำหนดหลักเกณฑ์และวิธีการเกี่ยวกับวันเริ่มทำบัญชีครั้งแรก และกำหนดวิธีการจัดทำบัญชีของบุคคลธรรมดาหรือห้างหุ้นส่วนที่มิได้จดทะเบียนนั้น', 'metadata': {'law_code': 'ก0104-1B-0001', 'law_title': 'พระราชบัญญัติการบัญชี พ.ศ. 2543', 'section': '8'}, 'unique_key': 'ก0104-1B-0001-8'}]",ผู้มีหน้าที่จัดทำบัญชีได้แก่ 1. ห้างหุ้นส่วนจดทะเบียน 2. บริษัทจำกัด 3. บริษัทมหาชนจำกัด 4. นิติบุคคลที่ตั้งขึ้นตามกฎหมายต่างประเทศที่ประกอบธุรกิจในประเทศไทย 5. กิจการร่วมค้าตามประมวลรัษฎากร ตามพระราชบัญญัติการบัญชี พ.ศ. 2543 มาตรา 8 ได้กำหนดผู้มีหน้าที่จัดทำบัญชีไว้ 5 ประเภทข้างต้น โดยผู้มีหน้าที่จัดทำบัญชีต้องจัดให้มีการทำบัญชีสำหรับการประกอบธุรกิจของตน,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติการบัญชี พ.ศ. 2543,0
การประชุมคณะกรรมการกำหนดมาตรฐานการบัญชี ต้องมีกรรมการมาประชุมเท่าไหร่จึงจะเป็นองค์ประชุม,"[{'context': 'พระราชบัญญัติวิชาชีพบัญชี พ.ศ. 2547 มาตรา 36 ให้นำความในมาตรา 26 มาใช้บังคับกับการประชุมคณะกรรมการกำหนดมาตรฐานการบัญชีและคณะอนุกรรมการซึ่งคณะกรรมการกำหนดมาตรฐานการบัญชีแต่งตั้งโดยอนุโลม', 'metadata': {'law_code': 'ว0067-1B-0001', 'law_title': 'พระราชบัญญัติวิชาชีพบัญชี พ.ศ. 2547', 'section': '36'}, 'unique_key': 'ว0067-1B-0001-36'}]",ไม่น้อยกว่าครึ่งหนึ่งของจำนวนกรรมการทั้งหมด คำอธิบายขยายความ : มาตรา 36 แห่งพระราชบัญญัติวิชาชีพบัญชี พ.ศ. 2547 ให้นำความในมาตรา 26 มาใช้บังคับกับการประชุมคณะกรรมการกำหนดมาตรฐานการบัญชีและคณะอนุกรรมการซึ่งคณะกรรมการกำหนดมาตรฐานการบัญชีแต่งตั้งโดยอนุโลม,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติวิชาชีพบัญชี พ.ศ. 2547,0
บริษัทที่ควบรวมจะได้ทรัพย์สินจากบริษัทที่ถูกควบรวมไหม,"[{'context': 'พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535 มาตรา 153 บริษัทที่ควบกันและจดทะเบียนแล้วย่อมได้ไปทั้งทรัพย์สิน หนี้ สิทธิ หน้าที่ และความรับผิดชอบของบริษัทเหล่านั้นทั้งหมด', 'metadata': {'law_code': 'บ0011-1B-0001', 'law_title': 'พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535', 'section': '153'}, 'unique_key': 'บ0011-1B-0001-153'}]",ได้ ได้ไปทั้งทรัพย์สิน หนี้ สิทธิ หน้าที่ และความรับผิดชอบของบริษัทเหล่านั้นทั้งหมด คำอธิบายขยายความ: พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535 มาตรา 153 บริษัทที่ควบกันและจดทะเบียนแล้วย่อมได้ไปทั้งทรัพย์สิน หนี้ สิทธิ หน้าที่ และความรับผิดชอบของบริษัทเหล่านั้นทั้งหมด,ขออภัยคำถามของคุณไม่มีประมวลกฎหมายในระบบรองรับ,พระราชบัญญัติบริษัทมหาชนจำกัด พ.ศ. 2535,0
การใช้สิทธิโดยไม่ชอบด้วยกฎหมายเป็นอย่างไร,"[{'context': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 421\nการใช้สิทธิซึ่งมีแต่จะให้เกิดเสียหายแก่บุคคลอื่นนั้น ท่านว่าเป็นการอันมิชอบด้วยกฎหมาย', 'metadata': {'law_code': 'ป0003-1D-0002', 'law_title': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section': '421'}, 'unique_key': 'ป0003-1D-0002-421'}]",เป็นการใช้สิทธิที่จะทำให้เกิดความเสียหายแก่บุคคลอื่น ทั้งนี้ ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 421 ,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลกฎหมายแพ่งและพาณิชย์,1
"ในสัญญาตัวแทน หาเป็นกรณีที่มอบอำนาจทั่วไป บุคคลใดจะต้องเป็นผู้ชำระอากรแสตมป์, ขีดฆ่าแสตมป์และเป็นจำนวนเงินเท่าใด","[{'context': 'ประมวลรัษฎากร บัญชีอัตราอากรแสตมป์\nลักษณะแห่งตราสาร: 21. ตัวแทน\n(ก) มอบอำนาจเฉพาะการ\nค่าอากรแสตมป์: 10 บาท\nผู้ที่ต้องเสียอากร: ตัวการ\nผู้ที่ต้องขีดฆ่าแสตมป์: ตัวการ\n(ข) มอบอำนาจทั่วไป\nค่าอากรแสตมป์: 30 บาท\nผู้ที่ต้องเสียอากร: ตัวการ\nผู้ที่ต้องขีดฆ่าแสตมป์: ตัวการ\nยกเว้นไม่ต้องเสียอากร\nการตั้งตัวแทนในกรณีสหกรณ์เป็นตัวการ', 'metadata': {'law_code': 'ป0008-1D-0001', 'law_title': 'ประมวลรัษฎากร', 'section': 'ลักษณะแห่งตราสาร 21'}, 'unique_key': 'ป0008-1D-0001-s21'}]",ตัวกาที่ไม่ใช่สหกรณ์ จะต้องเป็นผู้ชำระอากรแสตมป์เป็นจำนวนเงิน 30 บาท และจะต้องเป็นผู้ขีดฆ่าแสตมป์ คำอธิบาย: ตามประมวลรัษฎากร บัญชีอัตราอากรแสตมป์ ลักษณะแห่งตราสาร ข้อ 21: ในกรณีที่ (ข) มอบอำนาจทั่วไป ค่าอากรแสตมป์: 30 บาท ผู้ที่ต้องเสียอากร: ตัวการ ผู้ที่ต้องขีดฆ่าแสตมป์: ตัวการ ยกเว้นในกรณีที่สหกรณ์เป็นตัวการ,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลรัษฎากร,1
หลังจากได้มีการคัดค้านการแปรสภาพห้างหุ้นส่วนจำกัดและได้ชำระหนี้หรือประกันหนี้ให้แล้ว ห้างหุ้นส่วนจำกัดต้องดำเนินเช่นไรต่อจึงจะทำการแปรสภาพได้,"[{'context': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1246/2\nในกรณีไม่มีการคัดค้านหรือมีการคัดค้านแต่ห้างหุ้นส่วนได้ชำระหนี้หรือให้ประกันเพื่อหนี้นั้นแล้ว ผู้เป็นหุ้นส่วนทุกคนต้องประชุมเพื่อให้ความยินยอมและดำเนินการในเรื่อง ดังต่อไปนี้\n(1) จัดทำหนังสือบริคณห์สนธิและข้อบังคับของบริษัท (ถ้ามี)\n(2) กำหนดจำนวนทุนเรือนหุ้นของบริษัท ซึ่งต้องเท่ากับส่วนลงหุ้นของผู้เป็นหุ้นส่วนทุกคนในห้างหุ้นส่วน และกำหนดจำนวนหุ้นของบริษัทที่จะตกได้แก่หุ้นส่วนแต่ละคน\n(3) กำหนดจำนวนเงินที่ได้ใช้แล้วในแต่ละหุ้น ซึ่งต้องไม่น้อยกว่าร้อยละยี่สิบห้าแห่งมูลค่าของหุ้นแต่ละหุ้นที่ตั้งไว้\n(4) กำหนดจำนวนหุ้นสามัญหรือหุ้นบุริมสิทธิ รวมทั้งกำหนดสภาพและบุริมสิทธิของหุ้นซึ่งจะออกและจัดสรรหุ้นให้แก่ผู้เป็นหุ้นส่วน\n(5) แต่งตั้งกรรมการและกำหนดอำนาจของกรรมการ\n(6) แต่งตั้งผู้สอบบัญชี\n(7) ดำเนินการในเรื่องอื่น ๆ ที่จำเป็นในการแปรสภาพ\nในการดำเนินการตามวรรคหนึ่ง ให้นำบทบัญญัติเกี่ยวกับบริษัทจำกัดว่าด้วยการนั้น ๆ มาใช้บังคับโดยอนุโลม', 'metadata': {'law_code': 'ป0003-1D-0002', 'law_title': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section': '1246/2'}, 'unique_key': 'ป0003-1D-0002-1246/2'}]",ในกรณีไม่มีการคัดค้านหรือมีการคัดค้านแต่ห้างหุ้นส่วนได้ชำระหนี้หรือให้ประกันเพื่อหนี้นั้นแล้ว ผู้เป็นหุ้นส่วนทุกคนต้องประชุมเพื่อให้ความยินยอมและดำเนินการในเรื่อง ดังต่อไปนี้ 1.จัดทำหนังสือบริคณห์สนธิและข้อบังคับของบริษัท (ถ้ามี) 2.กำหนดจำนวนทุนเรือนหุ้นของบริษัท ต้องเท่ากับส่วนลงหุ้นของผู้เป็นหุ้นส่วนทุกคน และกำหนดจำนวนหุ้นของบริษัทที่จะตกแก่หุ้นส่วนแต่ละคน 3. กำหนดจำนวนเงินที่ได้ใช้แล้วในแต่ละหุ้น ซึ่งต้องไม่น้อยกว่าร้อยละ 25 แห่งมูลค่าของหุ้นแต่ละหุ้นที่ตั้งไว้ 4. กำหนดจำนวนหุ้นสามัญหรือหุ้นบุริมสิทธิ รวมทั้งกำหนดสภาพและบุริมสิทธิของหุ้นซึ่งจะออกและจัดสรรหุ้นให้แก่ผู้เป็นหุ้นส่วน 5. แต่งตั้งกรรมการและกำหนดอำนาจของกรรมการ 6. แต่งตั้งผู้สอบบัญชี 7. ดำเนินการในเรื่องที่จำเป็นในการแปรสภาพ ในการดำเนินการตามข้างต้น ให้นำบทบัญญัติเกี่ยวกับบริษัทจำกัดว่าด้วยการนั้น ๆ มาใช้บังคับโดยอนุโลม คำอธิบายขยายความ : ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1246/2 ในกรณีไม่มีการคัดค้านหรือมีการคัดค้านแต่ห้างหุ้นส่วนได้ชำระหนี้หรือให้ประกันเพื่อหนี้นั้นแล้ว ผู้เป็นหุ้นส่วนทุกคนต้องประชุมเพื่อให้ความยินยอมและดำเนินการในเรื่อง ดังต่อไปนี้ (1) จัดทำหนังสือบริคณห์สนธิและข้อบังคับของบริษัท (ถ้ามี) (2) กำหนดจำนวนทุนเรือนหุ้นของบริษัท ซึ่งต้องเท่ากับส่วนลงหุ้นของผู้เป็นหุ้นส่วนทุกคนในห้างหุ้นส่วน และกำหนดจำนวนหุ้นของบริษัทที่จะตกได้แก่หุ้นส่วนแต่ละคน (3) กำหนดจำนวนเงินที่ได้ใช้แล้วในแต่ละหุ้น ซึ่งต้องไม่น้อยกว่าร้อยละ 25 แห่งมูลค่าของหุ้นแต่ละหุ้นที่ตั้งไว้ (4) กำหนดจำนวนหุ้นสามัญหรือหุ้นบุริมสิทธิ รวมทั้งกำหนดสภาพและบุริมสิทธิของหุ้นซึ่งจะออกและจัดสรรหุ้นให้แก่ผู้เป็นหุ้นส่วน (5) แต่งตั้งกรรมการและกำหนดอำนาจของกรรมการ (6) แต่งตั้งผู้สอบบัญชี (7) ดำเนินการในเรื่องอื่น ๆ ที่จำเป็นในการแปรสภาพ ในการดำเนินการตามวรรคหนึ่ง ให้นำบทบัญญัติเกี่ยวกับบริษัทจำกัดว่าด้วยการนั้น ๆ มาใช้บังคับโดยอนุโลม,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลกฎหมายแพ่งและพาณิชย์,1
บริษัทกิจการเจริญดีจำกัด มีสำนักงานสาขาตั้งอยู่หลายที่ กรณีนี้จะถือว่าที่ไหนเป็นภูมิลำเนาของบริษัท,"[{'context': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 69\nในกรณีที่นิติบุคคลมีที่ตั้งที่ทำการหลายแห่งหรือมีสำนักงานสาขา ให้ถือว่าถิ่นอันเป็นที่ตั้งของที่ทำการหรือของสำนักงานสาขาเป็นภูมิลำเนาในส่วนกิจการอันได้กระทำ ณ ที่นั้นด้วย', 'metadata': {'law_code': 'ป0003-1D-0002', 'law_title': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section': '69'}, 'unique_key': 'ป0003-1D-0002-69'}]",กรณีที่บริษัทกิจการเจริญดีจำกัดซึ่งเป็นนิติบุคคล มีที่ตั้งสำนักงานสาขาหลายแห่ง ให้ถือว่าที่ตั้งของสำนักงานสาขาเป็นภูมิลำเนาในส่วนกิจการอันที่กระทำ ณ ที่นั้นด้วย มาตรา 69 แห่งประมวลกฎหมายแพ่งและพาณิชย์ ในกรณีที่นิติบุคคลมีที่ตั้งที่ทำการหลายแห่งหรือมีสำนักงานสาขา ให้ถือว่าถิ่นอันเป็นที่ตั้งของที่ทำการหรือของสำนักงานสาขาเป็นภูมิลำเนาในส่วนกิจการอันได้กระทำ ณ ที่นั้นด้วย,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้ค้ำประกันที่ไม่ยกข้อต่อสู้ของลูกหนี้ขึ้นต่อสู้เจ้าหนี้สามารถไล่เบี้ยเอาแก่ลูกหนี้ได้หรือไม่,"[{'context': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 695\nผู้ค้ำประกันซึ่งละเลยไม่ยกข้อต่อสู้ของลูกหนี้ขึ้นต่อสู้เจ้าหนี้นั้น ท่านว่าย่อมสิ้นสิทธิที่จะไล่เบี้ยเอาแก่ลูกหนี้เพียงเท่าที่ไม่ยกขึ้นเป็นข้อต่อสู้ เว้นแต่จะพิสูจน์ได้ว่าตนมิได้รู้ว่ามีข้อต่อสู้เช่นนั้น และที่ไม่รู้นั้นมิได้เป็นเพราะความผิดของตนด้วย', 'metadata': {'law_code': 'ป0003-1D-0002', 'law_title': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section': '695'}, 'unique_key': 'ป0003-1D-0002-695'}]",ไม่ได้ แต่ไล่เบี้ยไม่ได้เฉพาะที่ไม่ได้ยกขึ้นต่อสู้เท่านั้น ตามมาตรา 695 ประมวลกฎหมายแพ่งและพาณิชย์ ผู้ค้ำประกันซึ่งละเลยไม่ยกข้อต่อสู้ของลูกหนี้ขึ้นต่อสู้เจ้าหนี้นั้น ท่านว่าย่อมสิ้นสิทธิที่จะไล่เบี้ยเอาแก่ลูกหนี้เพียงเท่าที่ไม่ยกขึ้นเป็นข้อต่อสู้ เว้นแต่จะพิสูจน์ได้ว่าตนมิได้รู้ว่ามีข้อต่อสู้เช่นนั้น และที่ไม่รู้นั้นมิได้เป็นเพราะความผิดของตนด้วย,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้เยาว์ที่ถูกรับมาเป็นบุตรบุญธรรมจะทำการหมั้นอย่างไรจึงจะสมบูรณ์,"[{'context': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1436\nผู้เยาว์จะทำการหมั้นได้ต้องได้รับความยินยอมของบุคคลดังต่อไปนี้\n(1) บิดาและมารดา ในกรณีที่มีทั้งบิดามารดา\n(2) บิดาหรือมารดา ในกรณีที่มารดาหรือบิดาตายหรือถูกถอนอำนาจปกครองหรือไม่อยู่ในสภาพหรือฐานะที่อาจให้ความยินยอม หรือโดยพฤติการณ์ผู้เยาว์ไม่อาจขอความยินยอมจากมารดาหรือบิดาได้\n(3) ผู้รับบุตรบุญธรรม ในกรณีที่ผู้เยาว์เป็นบุตรบุญธรรม\n(4) ผู้ปกครอง ในกรณีที่ไม่มีบุคคลซึ่งอาจให้ความยินยอมตาม (1) (2) และ (3) หรือมีแต่บุคคลดังกล่าวถูกถอนอำนาจปกครอง\nการหมั้นที่ผู้เยาว์ทำโดยปราศจากความยินยอมดังกล่าวเป็นโมฆียะ', 'metadata': {'law_code': 'ป0003-1D-0002', 'law_title': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section': '1436'}, 'unique_key': 'ป0003-1D-0002-1436'}]",ต้องได้รับอนุญาตจากผู้รับบุตรบุญธรรมก่อน การหมั้นจึงจะสมบูรณ์ เพราะถ้าไม่ได้รับความยินยอม การหมั้นจะตกเป็นโมฆียะ ตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1436 (3) กำหนดว่า ผู้เยาว์ที่ถูกรับมาเป็นบุตรบุญธรรมจะทำการหมั้นได้ต้องได้รับความยินยอมจากผู้รับบุตรบุญธรรมก่อน ถ้าไม่ได้รับความยินยอม การหมั้นจะตกเป็นโมฆียะ,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลกฎหมายแพ่งและพาณิชย์,1
เงินจำนวนใดของมูลนิธิหรือสมาคม ที่จะต้องเสียภาษีในอัตราร้อยละ 10 ของรายได้ก่อนหักค่าใช้จ่ายใดๆแทนที่จะเสียตามอัตราที่กำหนดไว้ในบัญชีอัตราภาษีเงินได้ท้ายหมวดภาษีเงินได้ แห่งประมวลรัษฎากร,"[{'context': 'ประมวลรัษฎากร มาตรา 67 การเสียภาษีตามความในส่วนนี้ ให้เสียตามอัตราที่กำหนดไว้ในบัญชีอัตราภาษีเงินได้ท้ายหมวดนี้ เว้นแต่\n(1) ในกรณีที่บริษัทหรือห้างหุ้นส่วนนิติบุคคลตามมาตรา 66 วรรคสอง กระทำกิจการขนส่งผ่านประเทศต่าง ๆ ให้เสียภาษีเฉพาะกิจการขนส่งตามเกณฑ์ ดังต่อไปนี้\n(ก) ในกรณีรับขนคนโดยสาร ให้เสียภาษีในอัตราร้อยละ 3 ของค่าโดยสาร ค่าธรรมเนียม และประโยชน์อื่นใดที่เรียกเก็บในประเทศไทยก่อนหักรายจ่ายใด ๆ เนื่องในการรับขนคนโดยสารนั้น\n(ข) ในกรณีรับขนของ ให้เสียภาษีในอัตราร้อยละ 3 ของค่าระวาง ค่าธรรมเนียม และประโยชน์อื่นใดที่เรียกเก็บไม่ว่าในหรือนอกประเทศไทย ก่อนหักรายจ่ายใด ๆ เนื่องในการรับขนของออกจากประเทศไทยนั้น\n(2) มูลนิธิหรือสมาคมที่ประกอบกิจการซึ่งมีรายได้อันมิใช่รายได้ตามมาตรา 65 ทวิ (13) ให้เสียภาษีในอัตราร้อยละ 10 ของรายได้ก่อนหักรายจ่ายใด ๆ\n(3) เงินได้ตามมาตรา 40 (4) (ก) ของบริษัทหรือห้างหุ้นส่วนนิติบุคคลที่เป็นกองทุนรวม ให้เสียภาษีในอัตราร้อยละ 15 ของรายได้ก่อนหักรายจ่ายใด ๆ', 'metadata': {'law_code': 'ป0008-1D-0001', 'law_title': 'ประมวลรัษฎากร', 'section': '67'}, 'unique_key': 'ป0008-1D-0001-67'}]",มูลนิธิหรือสมาคมที่ประกอบกิจการซึ่งมีรายได้ที่ใช่รายได้ที่มาจากเงินค่าลงทะเบียนหรือค่าบำรุงที่ได้รับจากสมาชิกหรือเงินหรือทรัพย์สินที่ได้รับจากการรับบริจาคหรือจากการให้โดยเสน่หา คำอธิบาย ประมวลรัษฎากร มาตรา 67 การเสียภาษีตามความในส่วนนี้ ให้เสียตามอัตราที่กำหนดไว้ในบัญชีอัตราภาษีเงินได้ท้ายหมวดนี้ เว้นแต่ (2) มูลนิธิหรือสมาคมที่ประกอบกิจการซึ่งมีรายได้อันมิใช่รายได้ตามมาตรา 65 ทวิ (13) ให้เสียภาษีในอัตราร้อยละ 10 ของรายได้ก่อนหักรายจ่ายใด ๆ ประมวลรัษฎากร มาตรา 65 ทวิ การคำนวณกำไรสุทธิและขาดทุนสุทธิในส่วนนี้ให้เป็นไปตามเงื่อนไขดังต่อไปนี้ ... (13) มูลนิธิหรือสมาคมที่ประกอบกิจการซึ่งมีรายได้ไม่ต้องนำเงินค่าลงทะเบียนหรือค่าบำรุงที่ได้รับจากสมาชิกหรือเงินหรือทรัพย์สินที่ได้รับจากการรับบริจาคหรือจากการให้โดยเสน่หา แล้วแต่กรณี มารวมคำนวณเป็นรายได้,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลรัษฎากร,1
"ในกรณีของพันธบัตรของรัฐบาลใด ๆ ที่ขายในประเทศไทย บุคคลใดเป็นผู้ที่ต้องชำระอากรแสตมป์, ขีดฆ่าแสตมป์, และชำระค่าอากรแสตมป์เป็นจำนวนเงินเท่าใด","[{'context': 'ประมวลรัษฎากร บัญชีอัตราอากรแสตมป์\nลักษณะแห่งตราสาร: 11. (1) ใบหุ้นหรือใบหุ้นกู้ หรือใบรับรองหนี้ของบริษัท สมาคม คณะบุคคลหรือองค์การใด ๆ\nค่าอากรแสตมป์: 5 บาท\nผู้ที่ต้องเสียอากร: ผู้ทรงตราสาร\nผู้ที่ต้องขีดฆ่าแสตมป์: ผู้ทรงตราสาร\n(2) พันธบัตรของรัฐบาลใด ๆ ที่ขายในประเทศไทย\nค่าอากรแสตมป์: 1 บาท\nผู้ที่ต้องเสียอากร: ผู้ทรงตราสาร\nผู้ที่ต้องขีดฆ่าแสตมป์: ผู้ทรงตราสาร\nยกเว้นไม่ต้องเสียอากร\nใบหุ้น ใบหุ้นกู้ หรือใบรับรองหนี้ของสหกรณ์', 'metadata': {'law_code': 'ป0008-1D-0001', 'law_title': 'ประมวลรัษฎากร', 'section': 'ลักษณะแห่งตราสาร 11'}, 'unique_key': 'ป0008-1D-0001-s11'}]",ผู้ทรงตราสารเป็นผู้ที่ต้องขีดฆ่าอากรแสตมป์และชำระค่าอากรแสตมป์เป็นจำนวนเงิน 1 บาท คำอธิบาย ตามประมวลรัษฎากร บัญชีอัตราอากรแสตมป์ ลักษณะแห่งตราสาร 11: (2) พันธบัตรของรัฐบาลใด ๆ ที่ขายในประเทศไทย ค่าอากรแสตมป์: 1 บาท ผู้ที่ต้องเสียอากร: ผู้ทรงตราสาร ผู้ที่ต้องขีดฆ่าแสตมป์: ผู้ทรงตราสาร,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลรัษฎากร,1
เป็นผัวเมียกัน ตามกฎหมายต้องให้เงินเมียใช้ไหม,"[{'context': 'ประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1461\nสามีภริยาต้องอยู่กินด้วยกันฉันสามีภริยา\nสามีภริยาต้องช่วยเหลืออุปการะเลี้ยงดูกันตามความสามารถและฐานะของตน', 'metadata': {'law_code': 'ป0003-1D-0002', 'law_title': 'ประมวลกฎหมายแพ่งและพาณิชย์', 'section': '1461'}, 'unique_key': 'ป0003-1D-0002-1461'}]",ตามกฎหมายระบุว่า ทั้งสามีและภรรยาต้องช่วยเหลืออุปการะเลี้ยงดูซึ่งกันและกันตามฐานะของตัวเองที่จะสามารถทำได้ ดังนั้นไม่ว่าจะเป็นเมียหรือผัว ก็ต้องเหลือซึ่งกันและกันทั้งคู่ อ้างอิงตามประมวลกฎหมายแพ่งและพาณิชย์ มาตรา 1461,มีประมวลกฎหมายที่รองรับในระบบ,ประมวลกฎหมายแพ่งและพาณิชย์,1
